"Symbol","Name","Cluster","Cluster_Name"
"GSK","GlaxoSmithKline plc","1","Large Stable Giants"
"JNJ","Johnson & Johnson","1","Large Stable Giants"
"MRK","Merck & Co., Inc.","1","Large Stable Giants"
"PFE","Pfizer Inc","1","Large Stable Giants"
"ABT","Abbott Laboratories","2","Growth-Oriented Performers"
"AHM","Amersham plc","2","Growth-Oriented Performers"
"AZN","AstraZeneca PLC","2","Growth-Oriented Performers"
"BMY","Bristol-Myers Squibb Company","2","Growth-Oriented Performers"
"LLY","Eli Lilly and Company","2","Growth-Oriented Performers"
"NVS","Novartis AG","2","Growth-Oriented Performers"
"SGP","Schering-Plough Corporation","2","Growth-Oriented Performers"
"WYE","Wyeth","2","Growth-Oriented Performers"
"AVE","Aventis","3","High-Risk Specialists"
"CHTT","Chattem, Inc","3","High-Risk Specialists"
"ELN","Elan Corporation, plc","3","High-Risk Specialists"
"IVX","IVAX Corporation","3","High-Risk Specialists"
"MRX","Medicis Pharmaceutical Corporation","3","High-Risk Specialists"
"WPI","Watson Pharmaceuticals, Inc.","3","High-Risk Specialists"
"AGN","Allergan, Inc.","4","Efficient Mid-Caps"
"BAY","Bayer AG","4","Efficient Mid-Caps"
"PHA","Pharmacia Corporation","4","Efficient Mid-Caps"
